Geography,Payroll_Employees: Q3 2025,Job Vacancy: Q3 2025,Net_interprovincial_migration,Delta_Immigrants,Delta_Births,Emigrants,Returning_Emigrants,Population,Expenditure_Region,Total_Expenditure,Food_Expenditure,Food_Stores_Expenditure,Food_Restaurants_Expenditure,Shelter_Expenditure,Principal_Accommodation_Expenditure,Rent_Expenditure,Owned_Home_Expenditure,Utilities_Expenditure,Other_Accommodation_Expenditure,Household_Operations_Expenditure,Communications_Expenditure,Furnishings_Expenditure,Furniture_Expenditure,Equipment_Expenditure,Appliances_Expenditure,Clothing_Expenditure,Transportation_Expenditure,Private_Transport_Expenditure,Public_Transport_Expenditure,Healthcare_Expenditure,Direct_Healthcare_Expenditure,Personal_Care_Expenditure,Recreation_Expenditure,Rec_Equipment_Expenditure,Home_Entertainment_Expenditure,Rec_Services_Expenditure,Rec_Vehicles_Expenditure,Education_Expenditure,Reading_Expenditure,Tobacco_Alcohol_Expenditure,Gambling_Expenditure,Misc_Expenditure,Language,Immigrant_Density,Job_Growth_Potential,Net_Migration_Rate,Natural_Growth_Rate,Delta_Immigrant_Per_Capita,Total_Expenditure_Scaled,Shelter_Expenditure_Scaled,Food_Expenditure_Scaled,Transportation_Expenditure_Scaled,Healthcare_Expenditure_Scaled,Education_Expenditure_Scaled,Public_Transport_Expenditure_Scaled,Delta_Immigrant_Per_Capita_Scaled,Canadian_Opportunity_Index
"Southeast, Manitoba",50185,1790,-37.0,855,1816,282.0,214.0,145963,Prairies,110664,13831,10056,3736,24046,21739,4467,13301,3971,2307,6377,3712,3526,1545,1707,923,2691,13619,11661,1958,3331,2507,2313,5353,1474,329,2830,720,1760,162,2149,304,1670,English,0.0170369632360267,0.47956125736366395,-0.025348889787137837,1.0509512684721471,0.2193631112277301,0.7581811328513175,0.5671543646227191,1.0,1.0,1.0,0.6315789473684209,0.7525423728813558,0.2193631112277301,0.40771803387390165
"Muskoka-Kawarthas, Ontario",139855,5000,-697.0,927,3065,675.0,315.0,449416,Ontario,117721,11768,7957,3759,29312,26383,5683,17501,3198,2930,6395,3588,3433,1632,1451,818,3107,11936,10001,1935,3143,2497,1730,5179,1595,327,2658,599,2033,228,1599,179,1934,English,0.006628293589789425,0.48208268002939747,-0.15509016145397583,0.5318012709827865,0.049162124676334296,1.0,1.0,0.18037346046881275,0.35194455140546843,0.6240000000000006,0.8633276740237691,0.7330508474576269,0.049162124676334296,0.4008463683462757
"Saguenay-Lac-Saint-Jean, Quebec",113245,2700,85.0,569,2115,68.0,31.0,286395,Quebec,97430,11314,8829,2471,17715,16432,4741,9824,1866,1283,5123,2977,3267,1467,1629,635,2493,11022,9597,1425,2870,1976,1748,4941,1252,266,2365,1059,1016,164,2018,186,1467,French,0.005024504393129939,0.12153843998942038,0.029679289093734178,0.7147471149985161,0.04575761482142321,0.3046979405818453,0.04676968601019227,0.0,0.0,0.07800000000000029,0.0,0.3008474576271185,0.04575761482142321,0.3984689974806885
Newfoundland and Labrador,201860,4745,65.0,5473,3418,266.0,125.0,549911,Atlantic Region,88538,11562,8764,2757,17146,15643,3541,8702,3400,1503,5969,3383,3278,1296,1783,795,2139,12006,10936,1070,2831,1857,1661,4639,1328,242,1837,1232,1049,168,1636,200,1350,English,0.02711285049043892,0.11137465932420965,0.011820094524386674,0.57318366062872,0.4030142807122354,0.0,0.0,0.09852999602701651,0.37889872930304236,0.0,0.028013582342954146,0.0,0.4030142807122354,0.3825543070464374
"Southwest, Manitoba",56670,2015,-490.0,2164,1378,204.0,102.0,129480,Prairies,110664,13831,10056,3736,24046,21739,4467,13301,3971,2307,6377,3712,3526,1545,1707,923,2691,13619,11661,1958,3331,2507,2313,5353,1474,329,2830,720,1760,162,2149,304,1670,English,0.03818598905946709,0.4761918246347637,-0.3784368242199567,0.9067037380290393,0.706215844933165,0.7581811328513175,0.5671543646227191,1.0,1.0,1.0,0.6315789473684209,0.7525423728813558,0.706215844933165,0.3792134882987281
Alberta,2111555,59460,28138.0,58194,52446,14610.0,8095.0,5029346,Prairies,110664,13831,10056,3736,24046,21739,4467,13301,3971,2307,6377,3712,3526,1545,1707,923,2691,13619,11661,1958,3331,2507,2313,5353,1474,329,2830,720,1760,162,2149,304,1670,English,0.02755978414012422,0.25224010049621315,0.5594763215734213,0.7523045739943126,0.4755966152752438,0.7581811328513175,0.5671543646227191,1.0,1.0,1.0,0.6315789473684209,0.7525423728813558,0.4755966152752438,0.3715997159972331
Canada,17363945,492475,0.0,435421,368928,120016.0,54644.0,41651653,Canada,108225,12046,8659,3351,24671,22355,5258,14183,2914,2316,6014,3442,3390,1547,1569,795,2739,12090,10292,1799,3087,2332,1860,5231,1443,301,2578,909,1694,195,1809,192,1732,Bilingual,0.0250761563688436,0.25837334008402324,0.0,0.5976041335022166,0.42549942034875327,0.6746050782990096,0.6185270425776754,0.29082240762812894,0.4112437427801314,0.5120000000000005,0.5755517826825126,0.6177966101694914,0.42549942034875327,0.37127043453433045
"Laurentides, Quebec",244690,5570,62.0,1445,5575,818.0,304.0,679190,Quebec,97430,11314,8829,2471,17715,16432,4741,9824,1866,1283,5123,2977,3267,1467,1629,635,2493,11022,9597,1425,2870,1976,1748,4941,1252,266,2365,1059,1016,164,2018,186,1467,French,0.005905431362131677,0.08888397317593488,0.009128520737937837,0.7003931153285532,0.05207091791773377,0.3046979405818453,0.04676968601019227,0.0,0.0,0.07800000000000029,0.0,0.3008474576271185,0.05207091791773377,0.3610246534519615
"Lethbridge-Medicine Hat, Alberta",128300,3890,1394.0,1964,3779,851.0,505.0,334824,Prairies,110664,13831,10056,3736,24046,21739,4467,13301,3971,2307,6377,3712,3526,1545,1707,923,2691,13619,11661,1958,3331,2507,2313,5353,1474,329,2830,720,1760,162,2149,304,1670,English,0.015307872174590802,0.31763955788849096,0.4163381358564499,0.8744892839222995,0.2197272600733915,0.7581811328513175,0.5671543646227191,1.0,1.0,1.0,0.6315789473684209,0.7525423728813558,0.2197272600733915,0.35880836544565825
"Camrose-Drumheller, Alberta",74430,2380,784.0,690,2190,500.0,240.0,215996,Prairies,110664,13831,10056,3736,24046,21739,4467,13301,3971,2307,6377,3712,3526,1545,1707,923,2691,13619,11661,1958,3331,2507,2313,5353,1474,329,2830,720,1760,162,2149,304,1670,English,0.009270455461507456,0.3677979266427557,0.3629696846237893,0.7824218967017907,0.09992350682710856,0.7581811328513175,0.5671543646227191,1.0,1.0,1.0,0.6315789473684209,0.7525423728813558,0.09992350682710856,0.3575510562512884
"Outaouais, Quebec",115465,2415,119.0,2647,3795,512.0,295.0,428751,Quebec,97430,11314,8829,2471,17715,16432,4741,9824,1866,1283,5123,2977,3267,1467,1629,635,2493,11022,9597,1425,2870,1976,1748,4941,1252,266,2365,1059,1016,164,2018,186,1467,Bilingual,0.022924695795262635,0.03293478330726218,0.027755037306035436,0.7657124997959188,0.2335398000395682,0.3046979405818453,0.04676968601019227,0.0,0.0,0.07800000000000029,0.0,0.3008474576271185,0.2335398000395682,0.3554081517947392
Nunavut,17240,520,-236.0,73,759,0.0,0.0,41830,Canada,108225,12046,8659,3351,24671,22355,5258,14183,2914,2316,6014,3442,3390,1547,1569,795,2739,12090,10292,1799,3087,2332,1860,5231,1443,301,2578,909,1694,195,1809,192,1732,Bilingual,0.004234338747099768,0.31288191584226865,-0.5641883815443461,1.8144872101362657,0.03492173931795013,0.6746050782990096,0.6185270425776754,0.29082240762812894,0.4112437427801314,0.5120000000000005,0.5755517826825126,0.6177966101694914,0.03492173931795013,0.33249221750118135
"Calgary, Alberta",842815,22070,11124.0,28843,19753,8126.0,4538.0,1954845,Prairies,110664,13831,10056,3736,24046,21739,4467,13301,3971,2307,6377,3712,3526,1545,1707,923,2691,13619,11661,1958,3331,2507,2313,5353,1474,329,2830,720,1760,162,2149,304,1670,English,0.03422221958555555,0.19249996312057205,0.569047673856495,0.594778614161225,0.6183841595078368,0.7581811328513175,0.5671543646227191,1.0,1.0,1.0,0.6315789473684209,0.7525423728813558,0.6183841595078368,0.3259238982590223
"Lower Mainland-Southwest, British Columbia",1602305,49045,-5531.0,45426,28921,19288.0,7547.0,3547412,British Columbia,108172,12129,8500,3601,28739,25872,6834,16607,2431,2867,6113,3557,3379,1587,1510,858,2531,12540,10291,2250,3139,2529,1953,6027,1386,286,2800,1556,2194,210,1687,98,1915,English,0.028350407693915954,0.32640295496850724,-0.1559164822129485,0.27155007650647855,0.5309629570475106,0.6727889524723296,0.9529015288508962,0.32379817242749365,0.5845206006931081,0.6160000000000005,0.9999999999999999,1.0,0.5309629570475106,0.31819158005943055
"Avalon Peninsula, Newfoundland and Labrador",128620,2800,-483.0,3937,2032,212.0,103.0,304464,Atlantic Region,88538,11562,8764,2757,17146,15643,3541,8702,3400,1503,5969,3383,3278,1296,1783,795,2139,12006,10936,1070,2831,1857,1661,4639,1328,242,1837,1232,1049,168,1636,200,1350,English,0.030609547504276163,0.05879292131259195,-0.15863944505754374,0.5977718219559619,0.5365928425918651,0.0,0.0,0.09852999602701651,0.37889872930304236,0.0,0.028013582342954146,0.0,0.5365928425918651,0.3122065663753026
"Ottawa, Ontario",650780,15550,4069.0,25171,14336,5808.0,2874.0,1622007,Ontario,117721,11768,7957,3759,29312,26383,5683,17501,3198,2930,6395,3588,3433,1632,1451,818,3107,11936,10001,1935,3143,2497,1730,5179,1595,327,2658,599,2033,228,1599,179,1934,Bilingual,0.038678201542764065,0.12312153222099764,0.25086204930065037,0.5257683844767624,0.65264016298589,1.0,1.0,0.18037346046881275,0.35194455140546843,0.6240000000000006,0.8633276740237691,0.7330508474576269,0.65264016298589,0.28929347792854004
Saskatchewan,502560,15775,-2506.0,18199,13147,2022.0,1254.0,1266959,Prairies,110664,13831,10056,3736,24046,21739,4467,13301,3971,2307,6377,3712,3526,1545,1707,923,2691,13619,11661,1958,3331,2507,2313,5353,1474,329,2830,720,1760,162,2149,304,1670,English,0.03621259153135944,0.3500248173348568,-0.19779645592319875,0.8780868204890608,0.6008792940349564,0.7581811328513175,0.5671543646227191,1.0,1.0,1.0,0.6315789473684209,0.7525423728813558,0.6008792940349564,0.28727628806924815
"Wood Buffalo-Cold Lake, Alberta",76420,2290,97.0,1369,1923,336.0,118.0,161013,Prairies,110664,13831,10056,3736,24046,21739,4467,13301,3971,2307,6377,3712,3526,1545,1707,923,2691,13619,11661,1958,3331,2507,2313,5353,1474,329,2830,720,1760,162,2149,304,1670,English,0.01791415859722586,0.3069349438812309,0.06024358281629434,0.9856347003037021,0.3379786115578689,0.7581811328513175,0.5671543646227191,1.0,1.0,1.0,0.6315789473684209,0.7525423728813558,0.3379786115578689,0.28269508350074374
"Red Deer, Alberta",88015,2350,1310.0,1106,2362,369.0,215.0,239566,Prairies,110664,13831,10056,3736,24046,21739,4467,13301,3971,2307,6377,3712,3526,1545,1707,923,2691,13619,11661,1958,3331,2507,2313,5353,1474,329,2830,720,1760,162,2149,304,1670,English,0.012566039879565984,0.2080591788817836,0.5468221700909144,0.8319210572451851,0.1637068866600871,0.7581811328513175,0.5671543646227191,1.0,1.0,1.0,0.6315789473684209,0.7525423728813558,0.1637068866600871,0.276062142671957
"Swift Current-Moose Jaw, Saskatchewan",35420,1015,49.0,1268,1026,205.0,88.0,107592,Prairies,110664,13831,10056,3736,24046,21739,4467,13301,3971,2307,6377,3712,3526,1545,1707,923,2691,13619,11661,1958,3331,2507,2313,5353,1474,329,2830,720,1760,162,2149,304,1670,English,0.03579898362507058,0.2672799567544957,0.04554241951074429,0.763067886088185,0.485211122595396,0.7581811328513175,0.5671543646227191,1.0,1.0,1.0,0.6315789473684209,0.7525423728813558,0.485211122595396,0.24231200263458624
"London, Ontario",323710,8675,-891.0,7642,8064,2133.0,1065.0,830922,Ontario,117721,11768,7957,3759,29312,26383,5683,17501,3198,2930,6395,3588,3433,1632,1451,818,3107,11936,10001,1935,3143,2497,1730,5179,1595,327,2658,599,2033,228,1599,179,1934,English,0.02360754996756356,0.2110467654683077,-0.10723028154267188,0.7137854094608158,0.3691304845879184,1.0,1.0,0.18037346046881275,0.35194455140546843,0.6240000000000006,0.8633276740237691,0.7330508474576269,0.3691304845879184,0.23914512879253874
"Hamilton-Niagara Peninsula, Ontario",623455,16915,-1638.0,12446,15604,4674.0,2092.0,1710532,Ontario,117721,11768,7957,3759,29312,26383,5683,17501,3198,2930,6395,3588,3433,1632,1451,818,3107,11936,10001,1935,3143,2497,1730,5179,1595,327,2658,599,2033,228,1599,179,1934,English,0.019962948408465728,0.22110968701621525,-0.0957596817832113,0.6389824919966419,0.28297928521059146,1.0,1.0,0.18037346046881275,0.35194455140546843,0.6240000000000006,0.8633276740237691,0.7330508474576269,0.28297928521059146,0.2267023061637115
"Regina-Moose Mountain, Saskatchewan",163000,4875,-1473.0,6932,3472,527.0,340.0,374889,Prairies,110664,13831,10056,3736,24046,21739,4467,13301,3971,2307,6377,3712,3526,1545,1707,923,2691,13619,11661,1958,3331,2507,2313,5353,1474,329,2830,720,1760,162,2149,304,1670,English,0.04252760736196319,0.305178965651139,-0.3929163032257548,0.7855658608281385,0.7859485658726652,0.7581811328513175,0.5671543646227191,1.0,1.0,1.0,0.6315789473684209,0.7525423728813558,0.7859485658726652,0.2131198122119486
Manitoba,613425,18135,-4047.0,21433,15820,3095.0,1626.0,1509702,Prairies,110664,13831,10056,3736,24046,21739,4467,13301,3971,2307,6377,3712,3526,1545,1707,923,2691,13619,11661,1958,3331,2507,2313,5353,1474,329,2830,720,1760,162,2149,304,1670,English,0.03493988670171578,0.2947506630685859,-0.2680661481537416,0.8428815753042653,0.5933681972414425,0.7581811328513175,0.5671543646227191,1.0,1.0,1.0,0.6315789473684209,0.7525423728813558,0.5933681972414425,0.20900452743804693
Ontario,6726715,171810,-17779.0,190576,144954,55979.0,24973.0,16258260,Ontario,117721,11768,7957,3759,29312,26383,5683,17501,3198,2930,6395,3588,3433,1632,1451,818,3107,11936,10001,1935,3143,2497,1730,5179,1595,327,2658,599,2033,228,1599,179,1934,English,0.02833121367562027,0.17298466814656155,-0.10935364547005645,0.5472602849259391,0.4823646738305911,1.0,1.0,0.18037346046881275,0.35194455140546843,0.6240000000000006,0.8633276740237691,0.7330508474576269,0.4823646738305911,0.204063819042052
"Stratford-Bruce Peninsula, Ontario",128270,3420,-230.0,729,3508,496.0,348.0,352592,Ontario,117721,11768,7957,3759,29312,26383,5683,17501,3198,2930,6395,3588,3433,1632,1451,818,3107,11936,10001,1935,3143,2497,1730,5179,1595,327,2658,599,2033,228,1599,179,1934,English,0.005683324237935604,0.20692432542541317,-0.06523120206924718,0.8542451331850979,0.04938047668388451,1.0,1.0,0.18037346046881275,0.35194455140546843,0.6240000000000006,0.8633276740237691,0.7330508474576269,0.04938047668388451,0.2030672296392399
"Toronto, Ontario",3442170,82685,-13703.0,117381,67330,31757.0,14266.0,7471275,Ontario,117721,11768,7957,3759,29312,26383,5683,17501,3198,2930,6395,3588,3433,1632,1451,818,3107,11936,10001,1935,3143,2497,1730,5179,1595,327,2658,599,2033,228,1599,179,1934,English,0.03410087241478486,0.1269597442689928,-0.18340912361009332,0.4761302455069583,0.6612755976206955,1.0,1.0,0.18037346046881275,0.35194455140546843,0.6240000000000006,0.8633276740237691,0.7330508474576269,0.6612755976206955,0.16471701167252056
"Kitchener-Waterloo-Barrie, Ontario",627005,16145,-3989.0,14857,15793,5068.0,1858.0,1664214,Ontario,117721,11768,7957,3759,29312,26383,5683,17501,3198,2930,6395,3588,3433,1632,1451,818,3107,11936,10001,1935,3143,2497,1730,5179,1595,327,2658,599,2033,228,1599,179,1934,English,0.023695185843813048,0.17928035879527315,-0.23969273182415243,0.644448370221618,0.3570358097221626,1.0,1.0,0.18037346046881275,0.35194455140546843,0.6240000000000006,0.8633276740237691,0.7330508474576269,0.3570358097221626,0.1605562485418966
"Kingston-Pembroke, Ontario",182605,4580,34.0,1705,4145,1358.0,583.0,534785,Ontario,117721,11768,7957,3759,29312,26383,5683,17501,3198,2930,6395,3588,3433,1632,1451,818,3107,11936,10001,1935,3143,2497,1730,5179,1595,327,2658,599,2033,228,1599,179,1934,English,0.009337093726896855,0.15905898131135165,0.006357695148517628,0.5211440111446656,0.09964066720584049,1.0,1.0,0.18037346046881275,0.35194455140546843,0.6240000000000006,0.8633276740237691,0.7330508474576269,0.09964066720584049,0.14790235548153624
"Saskatoon-Biggar, Saskatchewan",191240,5320,-1643.0,7350,4304,1020.0,663.0,433537,Prairies,110664,13831,10056,3736,24046,21739,4467,13301,3971,2307,6377,3712,3526,1545,1707,923,2691,13619,11661,1958,3331,2507,2313,5353,1474,329,2830,720,1760,162,2149,304,1670,English,0.03843338213762811,0.24191972247517313,-0.3789757275618921,0.7574901334834166,0.7170049366582457,0.7581811328513175,0.5671543646227191,1.0,1.0,1.0,0.6315789473684209,0.7525423728813558,0.7170049366582457,0.14044565496656575
"Winnipeg, Manitoba",384330,10260,-3628.0,15910,7731,1961.0,985.0,855628,Prairies,110664,13831,10056,3736,24046,21739,4467,13301,3971,2307,6377,3712,3526,1545,1707,923,2691,13619,11661,1958,3331,2507,2313,5353,1474,329,2830,720,1760,162,2149,304,1670,English,0.041396716363541745,0.20793244924566967,-0.4240160443557247,0.674358482892098,0.7906004370129984,0.7581811328513175,0.5671543646227191,1.0,1.0,1.0,0.6315789473684209,0.7525423728813558,0.7906004370129984,0.09936600948400437
"Windsor-Sarnia, Ontario",269070,5335,-336.0,4735,6243,2910.0,1086.0,745975,Ontario,117721,11768,7957,3759,29312,26383,5683,17501,3198,2930,6395,3588,3433,1632,1451,818,3107,11936,10001,1935,3143,2497,1730,5179,1595,327,2658,599,2033,228,1599,179,1934,English,0.017597651168840822,0.0,-0.04504172391836188,0.44679781494017895,0.24132789447850256,1.0,1.0,0.18037346046881275,0.35194455140546843,0.6240000000000006,0.8633276740237691,0.7330508474576269,0.24132789447850256,0.0
